N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,토론
1,삼성전자,"69,100","1,500",+2.22%,"2,624,011","180,066","69,000","69,100","4,087,510",
2,SK하이닉스,"260,000","4,000",+1.56%,"342,090","88,545","260,000","260,500","1,892,806",
3,LG에너지솔루션,"347,000","2,000",-0.57%,"29,309","10,182","347,000","347,500","811,980",
4,삼성바이오로직스,"1,001,000","5,000",+0.50%,"6,429","6,416","1,002,000","1,003,000","712,452",
5,한화에어로스페이스,"934,000","18,000",+1.97%,"41,520","38,585","933,000","934,000","482,118",
6,HD현대중공업,"510,000",0,0.00%,"59,709","30,557","511,000","512,000","452,743",
7,현대차,"219,500","1,000",-0.45%,"115,343","25,273","219,000","219,500","449,443",
8,기아,"106,700",200,+0.19%,"38,807","4,130","106,400","106,500","420,764",
9,KB금융,"108,100","1,000",+0.93%,"17,545","1,884","108,000","108,100","412,742",
10,셀트리온,"170,700",900,+0.53%,"62,479","10,659","170,700","170,800","394,213",
11,두산에너빌리티,"59,700",100,+0.17%,"2,834,481","170,864","59,800","59,900","382,415",
12,한화오션,"121,600","5,200",+4.47%,"3,365,923","407,297","121,700","121,800","372,599",
13,NAVER,"225,500","10,000",+4.64%,"1,011,483","227,768","225,000","225,500","354,487",
14,신한지주,"64,300",300,+0.47%,"31,153","1,997","64,200","64,300","311,688",
15,삼성생명,"151,000","7,200",+5.01%,"65,465","9,707","150,200","150,300","302,400",
16,현대모비스,"320,500","1,000",-0.31%,"21,903","7,039","320,000","320,500","294,433",
17,HD한국조선해양,"414,500",500,-0.12%,"61,155","25,399","415,000","416,000","293,708",
18,삼성물산,"168,300","1,900",+1.14%,"19,915","3,330","167,900","168,000","285,901",
19,카카오,"59,600","1,600",-2.61%,"2,030,870","121,104","59,400","59,500","263,506",
20,한국전력,"36,900",450,+1.23%,"444,798","16,354","36,800","36,850","236,885",
21,하나금융지주,"81,800",500,+0.62%,"22,081","1,799","81,500","81,600","232,619",
22,HMM,"22,450",50,+0.22%,"253,423","5,656","22,400","22,450","230,634",
23,메리츠금융지주,"125,900",600,+0.48%,"7,663",961,"125,800","125,900","226,998",
24,POSCO홀딩스,"278,000","3,000",-1.07%,"72,110","20,055","278,000","278,500","224,994",
