1,이트론,11,3,-21.43%,"67,752,763",783,11,12,100,0.55,-2.85
2,빌리언스,437,31,-6.62%,"27,905,465","13,807",448,449,178,-7.95,-10.32
3,현대무벡스,"5,900","1,245",+26.75%,"23,940,772","138,350","5,870","5,880","6,571",26.82,16.17
4,크레오에스지,453,88,+24.11%,"20,558,833","8,684",451,452,875,-5.09,-29.01
5,러셀,"2,315",250,+12.11%,"18,652,457","44,889","2,320","2,325",736,-330.71,8.06
6,유니슨,"1,263",216,+20.63%,"18,608,725","22,847","1,260","1,262","2,156",-11.92,-36.03
7,이화전기,81,13,-13.83%,"17,046,630","1,415",80,81,177,1.65,-5.83
8,태웅로직스,"3,240",215,+7.11%,"14,573,744","50,776","3,475","3,490","1,287",6.14,12.68
9,일승,"6,170",200,+3.35%,"10,866,636","69,857","6,130","6,140","1,896",37.62,4.57
10,스맥,"3,875",125,+3.33%,"10,503,938","41,325","3,865","3,875","2,644",24.22,18.73
11,동방선기,"4,635",150,+3.34%,"9,327,926","44,800","4,620","4,625",649,11.04,15.71
12,다날,"8,460",180,-2.08%,"8,763,711","74,397","8,480","8,490","5,833",-72.31,2.46
13,코닉오토메이션,"2,320",90,+4.04%,"8,312,590","19,938","2,340","2,345",976,-68.24,3.92
14,디에이치엑스컴퍼니,"1,021",131,+14.72%,"8,174,412","8,907","1,001","1,009",175,-0.68,-32.48
15,삼화네트웍스,"1,511",38,+2.58%,"8,027,740","12,729","1,515","1,516",652,-18.89,3.25
16,오리엔탈정공,"7,940",570,+7.73%,"7,918,588","64,400","7,880","7,900","3,619",13.76,26.45
17,KD,655,29,+4.63%,"7,862,330","5,389",671,676,175,-1.44,12.56
18,동일스틸럭스,"1,565",46,+3.03%,"7,243,750","12,029","1,528","1,529",409,-4.92,-28.53
19,케이에스피,"5,590",310,+5.87%,"7,207,817","41,281","5,530","5,540","2,247",19.28,25.99
20,성호전자,"1,063",36,+3.51%,"6,618,172","7,580","1,062","1,063",754,-8.79,6.54
21,썸에이지,553,25,-4.33%,"6,371,839","3,634",556,558,770,-9.70,-28.33
22,뉴로핏,"12,790","2,490",+24.17%,"6,293,749","76,495","12,760","12,770","1,478",-7.54,34.38
23,조아제약,"1,166",154,+15.22%,"6,266,851","7,526","1,171","1,172",361,-3.58,-26.54
24,올릭스,"76,400","상한가17,600",+29.93%,"6,034,106","432,595","76,400",0,"15,362",-30.91,-120.11
25,휴림로봇,"2,625",110,+4.37%,"5,808,327","15,189","2,600","2,605","3,136",164.06,-5.59
26,한라캐스트,"4,680",310,+7.09%,"5,622,153","26,875","4,665","4,670","1,708",12.12,46.18
27,미투온,"5,920",40,-0.67%,"5,499,662","32,970","6,010","6,040","1,799",N/A,0.40
28,삼영엠텍,"9,090",140,-1.52%,"5,352,725","49,856","9,070","9,080","1,182",13.29,8.54
29,손오공,"1,084",9,+0.84%,"4,750,033","5,198","1,086","1,087",726,-4.95,-38.27
30,피델릭스,"1,282",24,+1.91%,"4,505,569","5,833","1,289","1,290",425,-8.38,-4.53
31,소니드,442,21,+4.99%,"4,431,362","2,050",445,446,326,-0.46,-74.62
32,현대ADM,"2,740",40,+1.48%,"4,356,006","12,363","2,740","2,745","1,325",-14.65,-118.31
33,디와이디,355,36,+11.29%,"4,339,318","1,566",356,357,444,-0.91,-241.11
34,제닉스로보틱스,"9,060",790,+9.55%,"4,293,948","40,062","9,010","9,030","1,188","-4,530.00",15.62
