시도군구,시도,군구,count,총인구수,ratio
강원특별자치도 강릉시,강원특별자치도,강릉시,19,209174,0.0908334687867517
강원특별자치도 고성군,강원특별자치도,고성군,14,27294,0.5129332454019199
강원특별자치도 동해시,강원특별자치도,동해시,4,88591,0.04515131333882674
강원특별자치도 삼척시,강원특별자치도,삼척시,15,62309,0.24073568826333275
강원특별자치도 속초시,강원특별자치도,속초시,1,82021,0.012191999609856013
강원특별자치도 양구군,강원특별자치도,양구군,8,20975,0.3814064362336114
강원특별자치도 양양군,강원특별자치도,양양군,11,27681,0.39738448755464034
강원특별자치도 영월군,강원특별자치도,영월군,14,37260,0.3757380568974772
강원특별자치도 원주시,강원특별자치도,원주시,20,361498,0.05532534066578515
강원특별자치도 인제군,강원특별자치도,인제군,11,32004,0.34370703662042246
강원특별자치도 정선군,강원특별자치도,정선군,19,34139,0.5565482292978704
강원특별자치도 철원군,강원특별자치도,철원군,13,41319,0.3146252329436821
강원특별자치도 춘천시,강원특별자치도,춘천시,25,286168,0.08736127030275921
강원특별자치도 태백시,강원특별자치도,태백시,3,38613,0.0776940408670655
강원특별자치도 평창군,강원특별자치도,평창군,23,40642,0.5659170316421437
강원특별자치도 홍천군,강원특별자치도,홍천군,28,67348,0.41575102452931045
강원특별자치도 화천군,강원특별자치도,화천군,11,22942,0.4794699677447476
강원특별자치도 횡성군,강원특별자치도,횡성군,17,46265,0.3674483951150978
경기도 가평군,경기도,가평군,21,62274,0.33721938529723483
경기도 고양시,경기도,고양시,4,1073751,0.0037252584630887422
경기도 과천시,경기도,과천시,1,81071,0.012334866968459745
경기도 광명시,경기도,광명시,2,279943,0.007144311520559542
경기도 광주시,경기도,광주시,16,391866,0.04083028382151042
경기도 구리시,경기도,구리시,3,186846,0.016056003339648694
경기도 군포시,경기도,군포시,2,260693,0.007671859236726725
경기도 김포시,경기도,김포시,14,486026,0.028805043351590245
경기도 남양주시,경기도,남양주시,16,732472,0.02184383839928352
경기도 동두천시,경기도,동두천시,1,88539,0.011294457809552853
경기도 부천시,경기도,부천시,3,778874,0.003851714141183298
경기도 성남시,경기도,성남시,4,919856,0.004348506722791394
경기도 수원시,경기도,수원시,4,1197220,0.0033410734869113445
경기도 시흥시,경기도,시흥시,8,519306,0.015405175368665104
경기도 안산시,경기도,안산시,9,628374,0.014322680441902434
경기도 안성시,경기도,안성시,26,189406,0.1372712585662545
경기도 안양시,경기도,안양시,2,546078,0.0036624804515105903
경기도 양주시,경기도,양주시,8,269658,0.029667208093214367
경기도 양평군,경기도,양평군,28,125381,0.22331932270439697
경기도 여주시,경기도,여주시,23,114336,0.20116148894486427
경기도 연천군,경기도,연천군,15,41487,0.3615590425916552
경기도 오산시,경기도,오산시,2,230108,0.008691570914527092
